T_C,P_sat_Pa,P_sat_bar,rho_liq,rho_vap,mu_liq_Pas,nu_liq_m2s,sigma_Nm,Bo_1 g (ground),Bo_0.01 g (low-g),Bo_0.001 g (micro-g)
31.0,1336728.355394167,13.367283553941668,495.63981004631887,28.43213460806569,8.914969986990756e-05,1.79867916303124e-07,0.006212863526074168,17608.643198638278,176.0864319863828,17.60864319863828
31.5,1352811.2443769197,13.528112443769198,494.7291847852918,28.79539379037854,8.871953227740157e-05,1.79329489760959e-07,0.0061515696876982846,17751.420345624378,177.51420345624382,17.75142034562438
32.0,1369035.078874073,13.69035078874073,493.81460884505157,29.162850062927237,8.829066192609175e-05,1.787931348013146e-07,0.006090371481356818,17896.647170205375,178.96647170205378,17.896647170205373
32.5,1385400.6380738835,13.854006380738834,492.8960257520342,29.534560263730068,8.786306447361022e-05,1.782588210963022e-07,0.006029269565564428,18044.38731774186,180.4438731774186,18.04438731774186
33.0,1401908.7042958129,14.019087042958128,491.9733777666706,29.910582452958607,8.74367155555092e-05,1.7772651835843447e-07,0.005968264609027217,18194.706656152746,181.94706656152746,18.194706656152746
33.5,1418560.0630544221,14.185600630544222,491.04660584357293,30.290975951291102,8.701159077809876e-05,1.7719619633378963e-07,0.0059073572908895115,18347.673373672336,183.4767337367234,18.347673373672336
34.0,1435355.5031227588,14.353555031227588,490.11564959013873,30.675801379814285,8.658766571101531e-05,1.766678247948716e-07,0.005846548300988826,18503.35808180816,185.03358081808165,18.503358081808162
34.5,1452295.8166002163,14.522958166002164,489.1804472234946,31.065120701541293,8.61649158796367e-05,1.7614137353341528e-07,0.005785838340119326,18661.833923824946,186.61833923824946,18.661833923824943
35.0,1469381.7989803979,14.693817989803978,488.24093552569195,31.458997264638672,8.574331675722071e-05,1.756168123529019e-07,0.005725228120304163,18823.17668910336,188.23176689103357,18.823176689103356
35.5,1486614.2492217962,14.866142492217962,487.29704979707026,31.85749584743398,8.532284375683271e-05,1.7509411106093195e-07,0.005664718365077108,18987.464933747724,189.87464933747725,18.98746493374772
36.0,1503993.9698207749,15.039939698207748,486.3487238077023,32.26068270530779,8.490347222305197e-05,1.7457323946144865e-07,0.005604309809773787,19154.780107844923,191.5478010784492,19.154780107844918
36.5,1521521.7668850645,15.215217668850645,485.3958897468145,32.668625619553985,8.448517742331953e-05,1.740541673465499e-07,0.005544003201833031,19325.206689805287,193.25206689805287,19.325206689805288
37.0,1539198.450212676,15.39198450212676,484.4384781700906,33.0813939483131,8.406793453909638e-05,1.735368644882486e-07,0.005483799301108739,19498.832328249893,194.98832328249895,19.49883232824989
37.5,1557024.8333697268,15.570248333697268,483.47641794473446,33.499058679694244,8.365171865671754e-05,1.7302130062997128e-07,0.005423698880192742,19675.747991942204,196.75747991942202,19.675747991942202
38.0,1575001.733772302,15.75001733772302,482.5096361921857,33.92169248717769,8.323650475784156e-05,1.7250744547760304e-07,0.005363702724749142,19856.048128301376,198.56048128301376,19.856048128301374
38.5,1593129.9727703214,15.931299727703214,481.53805822837165,34.34936978744286,8.282226770967892e-05,1.719952686904761e-07,0.005303811633860652,20039.83083107545,200.39830831075446,20.039830831075445
39.0,1611410.3757343777,16.114103757343777,480.5616075013392,34.78216680073212,8.240898225481598e-05,1.714847398719556e-07,0.005244026420387526,20227.19801779613,202.27198017796132,20.227198017796127
39.5,1629843.772143953,16.29843772143953,479.58020552615847,35.22016161388664,8.19966230006269e-05,1.7097582855961812e-07,0.005184347911339581,20418.255617688556,204.18255617688553,20.418255617688555
40.0,1648430.995680185,16.48430995680185,478.593771816926,35.66343424620983,8.158516440839042e-05,1.7046850421530094e-07,0.005124776948262001,20613.11377075963,206.13113770759634,20.613113770759632
